Course Code|Course Title|Course Description|Prerequisites|Exclusion|Recommended|Corequisite|Breadth Requirement
CSC104H1|CSC104H1 - Computational Thinking|Humans have solved problems for millennia on computing devices by representing data as diverse numbers, text, images, sound and genomes, and then transforming the data. A gentle introduction to designing programs (recipes) for systematically solving problems that crop up in diverse domains such as science, literature, and graphics. Social and intellectual issues raised by computing. Algorithms, hardware, software, operating systems, the limits of computation.||CC250H1,CSC196H1,CSC197H1,CSC199H1|||5
CSC108H1|CSC108H1 - Introduction to Computer Programming|Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required.NOTE: You may take  CSC148H1 after  CSC108H1. You may not take  CSC108H1 in the same term as, or after taking, any of  CSC110Y1/ CSC111H1/ CSC120H1/ CSC148H1.||CSC110Y1,CSC111H1,CSC120H1,CSC121H1,CSC148H1,CSC108H5,CSC148H5,CSCA08H3,CSCA20H3,CSCA48H3|||5
CSC110Y1|CSC110Y1 - Foundations of Computer Science I|An introduction to the field of computer science combining the tools and techniques of programming (using the Python programming language) with rigorous mathematical analysis and reasoning. Topics include: data representations; program control flow (conditionals, loops, exceptions, functions); mathematical logic and formal proof; algorithms and running time analysis; software engineering principles (formal specification and design, testing and verification). Prior programming experience is not required to succeed in this course.||CSC108H1,CSC148H1,CSC165H1|||5
CSC111H1|CSC111H1 - Foundations of Computer Science II|A continuation of  CSC110Y1 to extend principles of programming and mathematical analysis to further topics in computer science.|CSC110Y1|CSC108H1,CSC148H1,CSC165H1|||5
CSC120H1|CSC120H1 - Computer Science for the Sciences|An introduction to computer science for students in other sciences, with an emphasis on gaining practical skills. Introduction to programming with examples and exercises appropriate to the sciences; web programming; software tools.  Topics from: database design, considerations in numerical calculation, using UNIX/LINUX systems. At the end of this course you will be able to develop computer tools for scientific applications, such as the structuring and analysis of experimental data. With some additional preparation, you will also be ready to go on to  CSC148H1.  Practical (P) sections consist of supervised work in the computer laboratory. No programming experience is necessary.||CSC104H1|||5
CSC148H1|CSC148H1 - Introduction to Computer Science|Abstract data types and data structures for implementing them. Linked data structures. Encapsulation and information-hiding. Object-oriented programming. Specifications. Analyzing the efficiency of programs. Recursion. This course assumes programming experience as provided by  CSC108H1. Students who already have this background may consult the Computer Science Undergraduate Office for advice about skipping  CSC108H1. Practical (P) sections consist of supervised work in the computing laboratory. These sections are offered when facilities are available, and attendance is required. NOTE: Students may go to their college to drop down from  CSC148H1 to  CSC108H1. See above for the drop down deadline.|CSC108H1|CSC111H1,CSC207H1,CSC148H5,CSC207H5,CSCA48H3,07H3|||5
CSC165H1|CSC165H1 - Mathematical Expression and Reasoning for Computer Science|Introduction to abstraction and rigour. Informal introduction to logical notation and reasoning. Understanding, using and developing precise expressions of mathematical ideas, including definitions and theorems. Structuring proofs to improve presentation and comprehension. General problem-solving techniques. Running time analysis of iterative programs. Formal definition of Big-Oh. Diagonalization, the Halting Problem, and some reductions. Unified approaches to programming and theoretical problems.||CSC111H1,CSC236H1,CSC240H1,MAT102H5,CSC236H5,CSCA67H3,MATA67H3,36H3||CSC108H1,CSC120H1|5
CSC196H1|CSC196H1 - Great Ideas in Computing|"We will pursue the general (and very debatable) theme of GREAT IDEAS in COMPUTING (including some surprising algorithms). The ambitious goal is to try to identify some of the great ideas that have significantly influenced the field and have helped to make computing so pervasive. We will concentrate on mathematical, algorithmic and software ideas with the understanding that the importance and usefulness of these ideas depends upon (and often parallels) the remarkable ideas and progress in computing and communications hardware. As we will see, many of the great ideas were against the ""prevailing opinion"". The list of topics we shall discuss will depend to some degree on the background and interests of the class. Restricted to first-year students. Not eligible for CR/NCR option."|||||3
CSC197H1|CSC197H1 - What, Who, How: Privacy in the Age of Big Data Collection|The rapid advance of technology has brought remarkable changes to how we conduct our daily lives, from how we communicate, consume news and data, and purchase goods. As we increase our online activity, so too do we increase the amount of personal data that we're sharing, often without realizing it. The questions of exactly what data is being collected, who is collecting and accessing this data, and how this data is being used, have significant implications for both individuals and our larger social and political institutions. Organized by a wide variety of case studies drawn from current events, we'll study how personal data can be collected and tracked, how personal and social factors may influence our own decisions about whether and how much to share our data, and what broader political and legal tools are used to either protect or subvert individual privacy. Restricted to first-year students. Not eligible for CR/NCR option.|||||3
CSC199H1|CSC199H1 - Intelligence, Artificial and Human|"What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature. There is an equivalent course offered by St. Michael’s College. Students may take one or the other but not both. Restricted to first-year students. Not eligible for CR/NCR option."||SMC199H1|||3
